surface	lemma	feats	source
abrasions	abrasion	PL	lexicon
abrasively	abrasive	LY	promoted
abrasives	abrasive	PL	lexicon
abrasivenesses	abrasiveness	PL	lexicon
abreacting	abreact	ING	lexicon
abreacted	abreact	PAST	lexicon
abreacted	abreact	PPART	lexicon
abreacts	abreact	TSG	lexicon
abreactions	abreaction	PL	lexicon
abridging	abridge	ING	lexicon
abridged	abridge	PAST	lexicon
abridged	abridge	PPART	lexicon
abridges	abridge	TSG	lexicon
abridgements	abridgement	PL	lexicon
abridgers	abridger	PL	lexicon
abridgments	abridgment	PL	lexicon
abrogating	abrogate	ING	lexicon
abrogated	abrogate	PAST	lexicon
abrogated	abrogate	PPART	lexicon
abrogates	abrogate	TSG	lexicon
abrogations	abrogation	PL	lexicon
abrogators	abrogator	PL	lexicon
abrupter	abrupt	ER	lexicon
abruptest	abrupt	EST	lexicon
abruptions	abruption	PL	lexicon
abruptnesses	abruptness	PL	lexicon
abss	abs	PL	promoted
abscessing	abscess	ING	lexicon
abscessed	abscess	PAST	lexicon
abscesses	abscess	PL	lexicon
abscessed	abscess	PPART	lexicon
abscesses	abscess	TSG	lexicon
abscising	abscise	ING	lexicon
abscised	abscise	PAST	lexicon
abscised	abscise	PPART	lexicon
abscises	abscise	TSG	lexicon
abscissas	abscissa	PL	lexicon
abscissions	abscission	PL	lexicon
absconding	abscond	ING	lexicon
absconded	abscond	PAST	lexicon
absconded	abscond	PPART	lexicon
absconds	abscond	TSG	lexicon
absconders	absconder	PL	lexicon
abseiling	abseil	ING	lexicon
abseiled	abseil	PAST	lexicon
abseils	abseil	PL	lexicon
abseiled	abseil	PPART	lexicon
abseils	abseil	TSG	lexicon
absence	absent	QUALITY	derivation
absences	absent	QUALITY+PL	derivation
absenting	absente	ING	promoted
absented	absente	PAST	promoted
absentees	absentee	PL	lexicon
absenteeisms	absenteeism	PL	lexicon
absentmindednesses	absentmindedness	PL	lexicon
absinths	absinth	PL	lexicon
absinthes	absinthe	PL	lexicon
absolutely	absolute	LY	derivation
absolutenesses	absoluteness	PL	lexicon
absolutions	absolution	PL	lexicon
